Term	fdr	es	nes	gene %	lead_genes
extracellular matrix organization (GO:0030198)	0.0	0.5355846719909889	3.115091912245841	20.83%	MFAP5;COL3A1;LUM;DCN;COL6A3;FBN1;ITGA11;LOX;COL12A1;COMP;CD44;BGN;COL1A1;COL1A2;COL15A1;GREM1;FBLN5;COL8A1;ECM2;SERPINE1;ADAM12;TIMP1;TNC;HAPLN1;COL5A1;THBS1;DPT;FN1;ADAMTS5;POSTN;COL8A2;COL4A4;ITGAE;DDR2;LAMA2;P4HA2;COL16A1;SPARC;SH3PXD2A;MMP1;KIF9;COL21A1;COL5A2;LAMB3;TGFBI;LAMA4;TIMP2;ADAMTSL1;MMP19;TGFB2;BMP1;MMP2;CYP1B1;JAM2;ADAMTS2;ADAMTS6;COL14A1;ELN;LOXL4;LOXL2;CTSS;ADAMTSL5;HTRA1;COL4A1;CTSK;ADAMTS1;SMOC2;ICAM1;P4HA3;ITGA2;ATP7A;DST;ITGB8;COL7A1;ITGA3;ITGA5;RECK;ADAMTS12;CREB3L1;GAS6;NID2;CAPN2;CD47;VCAN;PLOD2;ITGA1;COL6A1;ITGA4;TGFB1;LOXL1
extracellular structure organization (GO:0043062)	0.0	0.5529164184772181	3.049446939354317	19.61%	MFAP5;COL3A1;LUM;DCN;COL6A3;FBN1;ITGA11;LOX;COMP;CD44;BGN;COL1A1;COL1A2;COL15A1;FBLN5;COL8A1;ECM2;SERPINE1;ADAM12;TNC;HAPLN1;COL5A1;THBS1;FN1;ADAMTS5;POSTN;COL8A2;COL4A4;ITGAE;DDR2;LAMA2;COL16A1;SPARC;SH3PXD2A;MMP1;COL5A2;LAMB3;TGFBI;LAMA4;ADAMTSL1;MMP19;MMP2;JAM2;ADAMTS2;ADAMTS6;COL14A1;ELN;ADAMTSL5;COL4A1;ADAMTS1;SMOC2;ICAM1;ITGA2;ATP7A;ITGB8;COL7A1;ITGA3;ITGA5;RECK;ADAMTS12;NID2;CD47;VCAN;ITGA1;COL6A1
external encapsulating structure organization (GO:0045229)	0.0	0.5529164184772181	3.049446939354317	19.61%	MFAP5;COL3A1;LUM;DCN;COL6A3;FBN1;ITGA11;LOX;COMP;CD44;BGN;COL1A1;COL1A2;COL15A1;FBLN5;COL8A1;ECM2;SERPINE1;ADAM12;TNC;HAPLN1;COL5A1;THBS1;FN1;ADAMTS5;POSTN;COL8A2;COL4A4;ITGAE;DDR2;LAMA2;COL16A1;SPARC;SH3PXD2A;MMP1;COL5A2;LAMB3;TGFBI;LAMA4;ADAMTSL1;MMP19;MMP2;JAM2;ADAMTS2;ADAMTS6;COL14A1;ELN;ADAMTSL5;COL4A1;ADAMTS1;SMOC2;ICAM1;ITGA2;ATP7A;ITGB8;COL7A1;ITGA3;ITGA5;RECK;ADAMTS12;NID2;CD47;VCAN;ITGA1;COL6A1
collagen fibril organization (GO:0030199)	0.0	0.5770779704242087	2.7190272539857925	16.25%	COL3A1;LUM;COL6A3;LOX;COL12A1;COL1A1;COL1A2;COL15A1;GREM1;COL8A1;COL5A1;DPT;COL8A2;COL4A4;DDR2;P4HA2;COL16A1;COL21A1;COL5A2;LAMB3;TGFB2;BMP1;CYP1B1;ADAMTS2;COL14A1;LOXL4;LOXL2;COL4A1;P4HA3;ATP7A;DST;COL7A1
negative regulation of peptidase activity (GO:0010466)	0.0	0.7600845181305306	2.677900304544445	8.15%	TIMP3;ECM1;SERPINA3;SERPINE1;TIMP1;CSTA;SERPINB2;SERPINE2;SERPINB8;SPOCK1;AGT;TIMP2
cellular response to lipopolysaccharide (GO:0071222)	0.0	0.607313802442804	2.67205677540931	17.35%	CD68;LY96;ANKRD1;SERPINE1;IL1B;VIM;IL6;CD14;CARD16;CXCL8;CASP1;PDCD1LG2;TLR4;CCL2;TNFAIP3;PRKCE;SIRPA;CD274;TNFSF4;TICAM1;WNT5A;AXL
negative regulation of cytokine production (GO:0001818)	0.0	0.5503236705988893	2.6339227623099184	20.40%	SRGN;INHBA;ANXA1;GPNMB;THBS1;IL6;FN1;GBP1;NAV3;DDIT3;PDCD1LG2;ANXA4;TLR4;APOD;UBA7;TNFAIP3;IFIH1;NLRC5;SSC5D;PPARA;IRAK3;SIRPA;CD274;TNFSF4;PTGER4;GAS6;AXL;DHX58;PRNP;ISG15;CYLD
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	0.0	0.6353295271966666	2.569545636968041	14.02%	IGF1;SP100;SCG2;THBS1;CAV1;G0S2;LGALS3;FAS;AGT;DEPTOR;TRADD;BMP4;CASP8;LTBR;NOL3
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	0.0	0.6333014646006353	2.531757456464269	14.19%	IGF1;SERPINE1;SNAI2;SCG2;IL1B;THBS1;LGALS3;FAS;IFI6;EYA4;TRADD;BMP4;TNFAIP3;CASP8;NOL3;ICAM1
cellular response to molecule of bacterial origin (GO:0071219)	0.0	0.5866285564931668	2.5316683780888627	18.92%	CD68;LY96;ANKRD1;SERPINE1;IL1B;VIM;IL6;CD14;CARD16;CXCL8;CASP1;PDCD1LG2;TLR4;CCL2;TNFAIP3;SIRPA;CD274;TNFSF4;TICAM1;WNT5A;AXL;SIRT2
