Term	fdr	es	nes	gene %	lead_genes
cotranslational protein targeting to membrane (GO:0006613)	0.0	0.6216035083460645	4.164989034417604	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;SSR2;RPL34;RPL32;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;SEC62;RPL36;SSR1;RPL35A;RPS5;SRP19;RPS16;RPS27A;RPS21;RPL15;RPL30;RPS12;RPL35;RPS20;RPL27;RPL12;ARL6IP1;RPLP0;TRAM1;RPL13;RPS4X;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28
cytoplasmic translation (GO:0002181)	0.0	0.6241056030697336	4.078344232784308	28.10%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;RPL32;RWDD1;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;TMA7;RPL36;RPL35A;RPS5;RPS16;RPS27A;RPS21;RPL22L1;RPL15;RPL30;RPL26L1;EIF2B3;RPS12;RPL35;RPS20;RPL27;RPL12;RPLP0;RPL13;RPS4X;FTSJ1;DRG2;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28;EIF3M;RPS11;ZC3H15
protein targeting to ER (GO:0045047)	0.0	0.6142354432014492	3.963830138226078	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;RPL32;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;SEC62;ZFAND2A;RPL36;RPL35A;RPS5;CHMP4A;SRP19;RPS16;SRPRB;RPS27A;RPS21;RPL15;RPL30;EDEM1;RPS12;RPL35;RPS20;RPL27;RPL12;RPLP0;RPL13;RPS4X;SPCS1;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28
cellular response to type I interferon (GO:0071357)	0.0	0.6959534518197923	3.6179215239592173	10.48%	OASL;XAF1;IFIT2;OAS2;OAS3;OAS1;IFIT3;MX1;SP100;HLA-B;IFI35;ISG20;IFITM3;IFITM2;IFI6;RNASEL;ISG15;SAMHD1
type I interferon signaling pathway (GO:0060337)	0.0	0.6959534518197923	3.6179215239592173	10.48%	OASL;XAF1;IFIT2;OAS2;OAS3;OAS1;IFIT3;MX1;SP100;HLA-B;IFI35;ISG20;IFITM3;IFITM2;IFI6;RNASEL;ISG15;SAMHD1
pre-replicative complex assembly (GO:0036388)	0.0	0.6397329829373848	3.6156062223985472	33.43%	UBA52;PSMB2;PSMA2;PSMA5;PSMD14;PSMD9;UBB;PSMA4;PSMB1;PSMA1;RPS27A;PSMD11;ORC5;PSMC5;PSMB5;PSMB6;ORC1;PSMD12;PSME2;PSMD10;PSMC2;PSMA7;GMNN;PSMC4;PSMB4;UBC;PSMF1;CDC6;PSMC6;PSMD8;PSMD13;PSMC3
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	0.0	0.5678234922106654	3.583894056036472	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;RPL32;SEC61B;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;RPL36;RPL35A;RPS5;SRP19;RPS16;RPS27A;RPS21;RPL15;RPL30;RPS12;RPL35;RPS20;RPL27;RPL12;RPLP0;RPL13;RPS4X;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	0.0	0.5508008765296725	3.4287871245088235	25.72%	RPS19;RPS23;UBA52;RPS14;RPLP1;RPL34;MAGOHB;RPL32;RPL27A;RPL28;RPL37;RPS6;RPS3;RPS29;RPS13;RPL36;RPL35A;RPS5;RPS16;RPS27A;RPS21;RPL15;RPL30;RBM8A;RPS12;RPL35;MAGOH;RPS20;RPL27;RPL12;RPLP0;RPL13;RPS4X;RPL3;RPL13A;RPL11;RPS8;RPL14;RPS28
anaphase-promoting complex-dependent catabolic process (GO:0031145)	0.0	0.6093993639400416	3.4234604025572213	33.43%	UBA52;PSMB2;PSMA2;PSMA5;PSMD14;PSMD9;UBB;PSMA4;PSMB1;PSMA1;RPS27A;BUB3;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;AURKB;PSMC2;PSMA7;PSMC4;PSMB4;UBE2S;UBC;ANAPC5;PSMF1;ANAPC16;PSMC6;PSMD8;PSMD13;PSMC3
defense response to symbiont (GO:0140546)	0.0	0.5475657172305668	3.388819189082563	11.01%	OASL;IL6;IFIT2;OAS2;OAS3;OAS1;SLFN11;IFIT3;MX1;NLRC5;PLSCR1;ISG20;IFITM3;IFI16;PMAIP1;IFIH1;IFITM2;IFI44L;IFI6;RNASEL;ISG15;PYCARD;LYST;BNIP3L;SAMHD1;NLRP1
rRNA processing (GO:0006364)	0.0	0.45465122552322856	3.2568209447870915	37.48%	RPS19;UBA52;RPS14;RPLP1;RPL34;RPL32;MPHOSPH6;EXOSC1;POP5;RPL27A;RPL28;RPL37;RPS6;EMG1;EIF6;POP4;RPL36;RPL35A;LSM6;RPS16;C1D;EBNA1BP2;RSL1D1;RPL15;RPL30;DDX47;RPL35;MRTO4;SRFBP1;RPL27;RPL12;UTP14A;DDX27;RPLP0;MPHOSPH10;RPL13;ESF1;RIOK1;NOP2;DKC1;EXOSC7;FCF1;NOL9;RPL3;RPL13A;RPL11;RPL14;RPS28;RRP15;NOB1;LAS1L;RCL1;RIOK2;SBDS;LYAR;UTP15;DDX10;RPL22;RPL8;NOP56;NOP58;IMP3;NOL8;RPL10;XRN2;WDR12;EXOSC2
negative regulation of mitotic cell cycle phase transition (GO:1901991)	0.0	0.537508593454273	3.2380171699459566	33.43%	GPNMB;CDKN2A;SLFN11;CDKN2C;CDKN2B;PSMB2;PSMA2;PSMA5;SKP1;RBX1;PSMD14;PSMD9;PSMA4;PSMB1;PSMA1;E2F7;PSMD11;PSMC5;PSMB5;PSMB6;PSMD12;PSME2;PSMD10;PSMC2;PKD2;PSMA7;PINX1;PSMC4;PSMB4;PSMF1;PSMC6;PRMT2;PSMD8;CDK2AP2;APC;PSMD13;PSMC3
regulation of viral genome replication (GO:0045069)	0.0	0.5908926247101819	3.1707836777151055	13.16%	OASL;OAS2;OAS3;OAS1;MX1;CXCL8;PLSCR1;ISG20;IFITM3;IFI16;IFIH1;IFITM2;RNASEL;ISG15;PPIA;PPIE;EIF2AK2
defense response to virus (GO:0051607)	0.0	0.5217011524050137	3.158266510035342	11.01%	OASL;IL6;IFIT2;OAS2;OAS3;OAS1;SLFN11;IFIT3;MX1;NLRC5;PLSCR1;ISG20;IFITM3;IFI16;PMAIP1;IFIH1;IFITM2;IFI44L;IFI6;RNASEL;ISG15;PYCARD;LYST;BNIP3L;SAMHD1;NLRP1
