	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	6.032835041895072	1.9959373494505657	0.9293046553317759	2.147775046642789	0.03173163025091402	0.07146970261741832
NAT2	0.0					
ADA	4.575418917143283	-1.6492908601385774	0.8014972938325209	-2.057762231800136	0.039612963220027914	0.08563307654094647
CDH2	80.08896154285004	2.5342855162257423	0.6019571347795724	4.210076382189173	2.5528436599062503e-05	0.00017621873650114226
AKT3	7.74705446081738	-1.8601104724809938	0.8821318209650217	-2.1086536368749256	0.034974489486529564	0.07738933664157147
MED6	24.6466093616452	-0.1867950491579072	0.3327814874753553	-0.5613144245944288	0.5745832098985146	0.673926591849142
NR2E3	0.0					
NAALAD2	0.7507397585812626	-1.8477574219683153	1.4937218862362573	-1.237015698165958	0.21608125471824224	0.32345627939525934
DDTL	0.5847277461770571	-1.776213709020856	1.8289376528819479	-0.9711723667682098	0.3314624519728413	
NAALADL1	0.4979073312668557	1.9534209334117152	3.241627659141173	0.6026049684957491	0.5467715142991305	
SIGLEC14	0.0					
ACOT8	10.929330608593634	0.0020915213352198053	0.6241641550112487	0.0033509154898235254	0.9973263612696677	0.997983523850193
ABI1	25.88778487404265	0.7749286914631272	0.2925096283054539	2.6492416538641455	0.008067262457854035	0.02343035419566547
GNPDA1	45.89621349708264	-0.42138490172281134	0.2743262073421366	-1.536072349067491	0.12452063705200733	0.21040350758620824
KCNE3	0.8114753317859699	0.7980517258980874	1.6174139473913784	0.49341217020244754	0.6217213848419996	0.7152062403603308
ZBTB33	8.884817828599738	-0.7483560933263664	0.43043346218995776	-1.7386103987336	0.0821033161669095	0.1516147116752977
CDH3	32.18052270354786	-9.147811969147188	1.5327692164791005	-5.96816002748312	2.3994397897122324e-09	5.09629265825418e-08
TANK	25.85751745469604	2.348378924062391	0.5351013158627852	4.388662211147656	1.1405005188389203e-05	8.75849608304301e-05
POM121C	11.929414554145188	0.03912121786845323	0.6971683155028755	0.056114451845440866	0.9552506311713115	0.9685972465129912
ZSCAN30	2.66667760970498	-0.5250601700309613	0.7389494190210261	-0.7105495403549688	0.4773634213924348	0.5882430476211269
